date,position,song_name,artist_name,last_position,peak_position,weeks_on_chart
2010-12-04,95,Marry Me,Train,0,95,1
2010-12-04,97,Blow,Ke$ha,0,97,1
2010-12-04,98,Turn Around (5 4 3 2 1),Flo Rida,0,98,1
2010-12-11,18,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,0,18,1
2010-12-11,32,Marry You,Glee Cast,0,32,1
2010-12-11,40,Just The Way You Are,Glee Cast,0,40,1
2010-12-11,60,Dark Fantasy,"Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver",0,60,1
2010-12-11,61,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,0,61,1
2010-12-11,70,Show Me How You Burlesque,Christina Aguilera,0,70,1
2010-12-11,72,Pretty Girl Rock,Keri Hilson,0,72,1
2010-12-11,73,Who's That Chick?,David Guetta Featuring Rihanna,0,73,1
2010-12-11,76,Fly,Nicki Minaj Featuring Rihanna,0,76,1
2010-12-11,91,Marry You,Bruno Mars,0,91,1
2010-12-11,92,All Of The Lights,Kanye West,0,92,1
2010-12-11,93,Crazy Beautiful Life,Ke$ha,0,93,1
2010-12-11,97,Let Me Down Easy,Billy Currington,0,97,1
2010-12-11,100,Maybe,Sick Puppies,0,100,1
2010-12-18,22,Dog Days Are Over,Glee Cast,0,22,1
2010-12-18,25,Christmas Lights,Coldplay,0,25,1
2010-12-18,29,"Hey, Soul Sister",Glee Cast,0,29,1
2010-12-18,38,(I've Had) The Time Of My Life,Glee Cast,0,38,1
2010-12-18,54,Valerie,Glee Cast,0,54,1
2010-12-18,55,Who Dat Girl,Flo Rida Featuring Akon,0,55,1
2010-12-18,78,Freak The Freak Out,Victorious Cast Featuring Victoria Justice,0,78,1
2010-12-18,79,Boots,The Killers,0,79,1
2010-12-18,84,Fire Flame,Birdman Featuring Lil Wayne,0,84,1
2010-12-18,93,Rocketeer,Far*East Movement Featuring Ryan Tedder,0,93,1
2010-12-18,97,Don't Cry For Me Argentina (Lea Michele Version),Glee Cast,0,97,1
2010-12-25,18,That's All She Wrote,T.I. Featuring Eminem,0,18,1
2010-12-25,57,"Baby, It's Cold Outside",Glee Cast,0,57,1
2010-12-25,59,Welcome Christmas,Glee Cast,0,59,1
2010-12-25,68,Rolling In The Deep,Adele,0,68,1
2010-12-25,89,No BS,Chris Brown,0,89,1
2010-12-25,94,Bass Down Low,Dev Featuring The Cataracs,0,94,1
2010-12-25,95,Fall For Your Type,Jamie Foxx Featuring Drake,0,95,1
2011-01-01,9,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,0,9,1
2011-01-01,80,Higher,Taio Cruz Featuring Travie McCoy,0,80,1
2011-01-01,82,Moment 4 Life,Nicki Minaj Featuring Drake,0,82,1
2011-01-01,86,F**kin' Perfect,P!nk,0,86,1
2011-01-01,90,What Do You Want,Jerrod Niemann,0,90,1
2011-01-01,92,Are You Gonna Kiss Me Or Not,Thompson Square,0,92,1
